date,open
Thu May 18 00:00:00 EDT 2023,29.0
Fri May 19 00:00:00 EDT 2023,29.6
Mon May 22 00:00:00 EDT 2023,29.85
Tue May 23 00:00:00 EDT 2023,30.049999
Wed May 24 00:00:00 EDT 2023,29.309999
Thu May 25 00:00:00 EDT 2023,28.290001
Fri May 26 00:00:00 EDT 2023,27.440001
Tue May 30 00:00:00 EDT 2023,29.700001
Wed May 31 00:00:00 EDT 2023,29.700001
Thu Jun 01 00:00:00 EDT 2023,31.799999
Fri Jun 02 00:00:00 EDT 2023,31.4
Mon Jun 05 00:00:00 EDT 2023,31.309999
Tue Jun 06 00:00:00 EDT 2023,29.77
Wed Jun 07 00:00:00 EDT 2023,31.030001
Thu Jun 08 00:00:00 EDT 2023,31.43
Fri Jun 09 00:00:00 EDT 2023,31.93
Mon Jun 12 00:00:00 EDT 2023,31.4
Tue Jun 13 00:00:00 EDT 2023,33.77
Wed Jun 14 00:00:00 EDT 2023,33.869999
Thu Jun 15 00:00:00 EDT 2023,35.279999
Fri Jun 16 00:00:00 EDT 2023,36.360001
Tue Jun 20 00:00:00 EDT 2023,36.77
Wed Jun 21 00:00:00 EDT 2023,34.919998
Thu Jun 22 00:00:00 EDT 2023,32.689999
Fri Jun 23 00:00:00 EDT 2023,32.209999
Mon Jun 26 00:00:00 EDT 2023,33.189999
Tue Jun 27 00:00:00 EDT 2023,33.220001
Wed Jun 28 00:00:00 EDT 2023,33.610001
Thu Jun 29 00:00:00 EDT 2023,33.34
Fri Jun 30 00:00:00 EDT 2023,33.360001
Mon Jul 03 00:00:00 EDT 2023,33.540001
Wed Jul 05 00:00:00 EDT 2023,33.310001
Thu Jul 06 00:00:00 EDT 2023,31.9
Fri Jul 07 00:00:00 EDT 2023,32.0
Mon Jul 10 00:00:00 EDT 2023,31.870001
Tue Jul 11 00:00:00 EDT 2023,32.82
Wed Jul 12 00:00:00 EDT 2023,33.689999
Thu Jul 13 00:00:00 EDT 2023,34.150002
Fri Jul 14 00:00:00 EDT 2023,33.779999
Mon Jul 17 00:00:00 EDT 2023,33.16
Tue Jul 18 00:00:00 EDT 2023,34.279999
Wed Jul 19 00:00:00 EDT 2023,34.400002
Thu Jul 20 00:00:00 EDT 2023,33.700001
Fri Jul 21 00:00:00 EDT 2023,33.73
Mon Jul 24 00:00:00 EDT 2023,33.84
Tue Jul 25 00:00:00 EDT 2023,33.700001
Wed Jul 26 00:00:00 EDT 2023,33.720001
Thu Jul 27 00:00:00 EDT 2023,34.82
Fri Jul 28 00:00:00 EDT 2023,36.75
Mon Jul 31 00:00:00 EDT 2023,36.869999
Tue Aug 01 00:00:00 EDT 2023,35.82
Wed Aug 02 00:00:00 EDT 2023,35.150002
Thu Aug 03 00:00:00 EDT 2023,34.290001
Fri Aug 04 00:00:00 EDT 2023,34.48
Mon Aug 07 00:00:00 EDT 2023,35.41
Tue Aug 08 00:00:00 EDT 2023,34.669998
Wed Aug 09 00:00:00 EDT 2023,35.0
Thu Aug 10 00:00:00 EDT 2023,34.700001
Fri Aug 11 00:00:00 EDT 2023,34.459999
Mon Aug 14 00:00:00 EDT 2023,34.669998
Tue Aug 15 00:00:00 EDT 2023,35.41
Wed Aug 16 00:00:00 EDT 2023,34.52
Thu Aug 17 00:00:00 EDT 2023,33.560001
Fri Aug 18 00:00:00 EDT 2023,32.23
Mon Aug 21 00:00:00 EDT 2023,32.599998
Tue Aug 22 00:00:00 EDT 2023,33.220001
Wed Aug 23 00:00:00 EDT 2023,32.880001
Thu Aug 24 00:00:00 EDT 2023,33.720001
Fri Aug 25 00:00:00 EDT 2023,32.529999
Mon Aug 28 00:00:00 EDT 2023,33.5
Tue Aug 29 00:00:00 EDT 2023,33.490002
Wed Aug 30 00:00:00 EDT 2023,34.060001
Thu Aug 31 00:00:00 EDT 2023,34.32
Fri Sep 01 00:00:00 EDT 2023,35.790001
Tue Sep 05 00:00:00 EDT 2023,36.580002
Wed Sep 06 00:00:00 EDT 2023,36.560001
Thu Sep 07 00:00:00 EDT 2023,36.830002
Fri Sep 08 00:00:00 EDT 2023,38.119999
Mon Sep 11 00:00:00 EDT 2023,38.240002
Tue Sep 12 00:00:00 EDT 2023,38.650002
Wed Sep 13 00:00:00 EDT 2023,38.799999
Thu Sep 14 00:00:00 EDT 2023,38.810001
Fri Sep 15 00:00:00 EDT 2023,38.419998
Mon Sep 18 00:00:00 EDT 2023,37.619999
Tue Sep 19 00:00:00 EDT 2023,38.040001
Wed Sep 20 00:00:00 EDT 2023,36.220001
Thu Sep 21 00:00:00 EDT 2023,34.57
Fri Sep 22 00:00:00 EDT 2023,34.810001
Mon Sep 25 00:00:00 EDT 2023,34.0
Tue Sep 26 00:00:00 EDT 2023,34.139999
Wed Sep 27 00:00:00 EDT 2023,33.919998
Thu Sep 28 00:00:00 EDT 2023,34.650002
Fri Sep 29 00:00:00 EDT 2023,35.650002
Mon Oct 02 00:00:00 EDT 2023,35.610001
Tue Oct 03 00:00:00 EDT 2023,35.27
Wed Oct 04 00:00:00 EDT 2023,36.52
Thu Oct 05 00:00:00 EDT 2023,35.970001
Fri Oct 06 00:00:00 EDT 2023,35.869999
Mon Oct 09 00:00:00 EDT 2023,35.700001
Tue Oct 10 00:00:00 EDT 2023,36.139999
Wed Oct 11 00:00:00 EDT 2023,36.619999
Thu Oct 12 00:00:00 EDT 2023,36.799999
Fri Oct 13 00:00:00 EDT 2023,36.740002
Mon Oct 16 00:00:00 EDT 2023,36.139999
Tue Oct 17 00:00:00 EDT 2023,35.919998
Wed Oct 18 00:00:00 EDT 2023,35.52
Thu Oct 19 00:00:00 EDT 2023,35.959999
Fri Oct 20 00:00:00 EDT 2023,35.650002
Mon Oct 23 00:00:00 EDT 2023,34.599998
Tue Oct 24 00:00:00 EDT 2023,33.639999
Wed Oct 25 00:00:00 EDT 2023,34.18
Thu Oct 26 00:00:00 EDT 2023,32.889999
Fri Oct 27 00:00:00 EDT 2023,34.66
Mon Oct 30 00:00:00 EDT 2023,35.470001
Tue Oct 31 00:00:00 EDT 2023,35.66
Wed Nov 01 00:00:00 EDT 2023,36.5
Thu Nov 02 00:00:00 EDT 2023,37.580002
Fri Nov 03 00:00:00 EDT 2023,38.0
Mon Nov 06 00:00:00 EST 2023,38.02
Tue Nov 07 00:00:00 EST 2023,38.240002
Wed Nov 08 00:00:00 EST 2023,38.849998
Thu Nov 09 00:00:00 EST 2023,38.049999
Fri Nov 10 00:00:00 EST 2023,38.240002
Mon Nov 13 00:00:00 EST 2023,38.349998
Tue Nov 14 00:00:00 EST 2023,38.799999
Wed Nov 15 00:00:00 EST 2023,39.59
Thu Nov 16 00:00:00 EST 2023,41.0
